MessageID, ChatID, Message, MemberID, CreatedAt
1, 1, one dog walked over a car., 49, 2019-01-01 08:45:17
2, 1, some boy drove under the dog., 88, 2019-01-01 07:24:33
3, 1, a dog skipped under some town., 93, 2019-01-01 17:14:52
4, 1, some boy drove over a boy., 16, 2019-01-01 02:00:57
5, 1, one boy jumped over some dog., 62, 2019-01-01 16:13:59
6, 1, any girl drove over some car., 28, 2019-01-01 10:41:01
7, 1, the dog skipped on one town., 60, 2019-01-01 08:50:51
8, 1, the boy ran on one girl., 7, 2019-01-01 00:17:27
9, 1, one car skipped on the car., 71, 2019-01-01 07:31:27
10, 1, some town jumped to the car., 16, 2019-01-01 17:56:58
11, 1, the town jumped on a boy., 12, 2019-01-01 11:10:48
12, 1, the car skipped under the boy., 7, 2019-01-01 08:36:44
13, 1, the dog skipped on one car., 47, 2019-01-01 02:45:14
14, 1, a dog jumped over the town., 18, 2019-01-01 11:35:29
15, 1, one boy ran to any girl., 54, 2019-01-01 00:41:13
16, 1, one girl drove on a dog., 72, 2019-01-01 23:39:54
17, 1, any dog walked to a car., 20, 2019-01-01 09:59:32
18, 1, one town skipped under some boy., 17, 2019-01-01 14:16:23
19, 1, a car skipped to a town., 61, 2019-01-01 23:25:18
20, 1, one car walked under the dog., 69, 2019-01-01 05:39:51
21, 1, the boy ran to any boy., 38, 2019-01-01 18:35:56
22, 1, any girl ran on any dog., 83, 2019-01-01 07:00:36
23, 1, one girl ran on one car., 61, 2019-01-01 16:07:07
24, 1, one girl drove from one boy., 83, 2019-01-01 02:20:43
25, 1, any town jumped under one town., 10, 2019-01-01 11:33:00
26, 1, a car ran on a town., 94, 2019-01-01 18:57:40
27, 1, the car walked to one girl., 36, 2019-01-01 21:18:56
28, 1, one boy walked on some dog., 20, 2019-01-01 02:50:46
29, 1, the town ran under a car., 80, 2019-01-01 15:39:13
30, 1, a dog jumped over a dog., 2, 2019-01-01 15:57:13
31, 1, the girl walked under one car., 72, 2019-01-01 12:09:10
32, 1, some boy jumped over any town., 43, 2019-01-01 19:07:47
33, 1, a car ran under some dog., 90, 2019-01-01 09:21:43
34, 1, one dog skipped to the dog., 31, 2019-01-01 06:31:13
35, 1, a dog jumped over the car., 41, 2019-01-01 07:02:48
36, 1, the town skipped from a car., 71, 2019-01-01 12:49:32
37, 1, one car ran under one dog., 98, 2019-01-01 07:20:58
38, 1, any car walked on one town., 90, 2019-01-01 07:30:42
39, 1, the boy jumped over a dog., 49, 2019-01-01 23:19:24
40, 1, one dog drove under some boy., 69, 2019-01-01 20:28:48
41, 1, the dog drove from any dog., 68, 2019-01-01 22:40:19
42, 1, the boy drove over one town., 8, 2019-01-01 06:35:51
43, 1, any boy skipped under some town., 79, 2019-01-01 02:23:29
44, 1, the town ran over one dog., 56, 2019-01-01 20:48:43
45, 1, any car jumped from any boy., 54, 2019-01-01 22:56:22
46, 1, one dog jumped under one dog., 38, 2019-01-01 22:10:35
47, 1, one dog jumped over some dog., 51, 2019-01-01 10:24:09
48, 1, one car walked to the town., 38, 2019-01-01 14:27:56
49, 1, the car jumped under the town., 89, 2019-01-01 12:52:42
50, 1, any dog jumped under one girl., 14, 2019-01-01 04:17:04
51, 1, a car drove from a boy., 44, 2019-01-01 13:21:35
52, 1, one car drove from any dog., 1, 2019-01-01 12:49:12
53, 1, a town ran on some girl., 4, 2019-01-01 22:00:26
54, 1, any girl jumped on any car., 22, 2019-01-01 23:29:20
55, 1, some dog drove on some car., 97, 2019-01-01 10:40:37
56, 1, some car skipped from a car., 91, 2019-01-01 16:48:26
57, 1, one girl ran over a girl., 91, 2019-01-01 09:49:16
58, 1, one car jumped from some car., 50, 2019-01-01 21:41:20
59, 1, any girl jumped from any car., 41, 2019-01-01 11:33:44
60, 1, a boy ran on the dog., 27, 2019-01-01 18:40:02
61, 1, the boy walked over the boy., 74, 2019-01-01 11:16:36
62, 1, a girl ran under one town., 59, 2019-01-01 07:21:51
63, 1, a girl jumped over one boy., 93, 2019-01-01 17:57:04
64, 1, one girl drove under any boy., 92, 2019-01-01 11:47:27
65, 1, any boy skipped under any dog., 96, 2019-01-01 09:31:42
66, 1, any boy skipped on some boy., 99, 2019-01-01 22:37:16
67, 1, some dog drove on some boy., 13, 2019-01-01 06:09:01
68, 1, one car jumped to the town., 38, 2019-01-01 06:33:16
69, 1, one town drove on a girl., 12, 2019-01-01 04:07:10
70, 1, one boy drove under a car., 36, 2019-01-01 05:30:58
71, 1, some town walked from a town., 5, 2019-01-01 16:08:30
72, 1, a girl jumped to any town., 21, 2019-01-01 13:57:10
73, 1, a boy jumped over a town., 69, 2019-01-01 18:09:05
74, 1, some car walked from the town., 79, 2019-01-01 06:32:02
75, 1, any town drove on a town., 92, 2019-01-01 22:12:09
76, 1, one town walked from one girl., 7, 2019-01-01 06:11:18
77, 1, the town walked under one town., 84, 2019-01-01 19:23:07
78, 1, one car drove over some boy., 95, 2019-01-01 02:32:06
79, 1, the car walked to any car., 82, 2019-01-01 21:12:28
80, 1, any dog drove from any town., 87, 2019-01-01 17:01:54
81, 1, any town ran from any dog., 79, 2019-01-01 10:08:39
82, 1, one dog walked under any town., 53, 2019-01-01 05:34:24
83, 1, some town ran under the boy., 47, 2019-01-01 04:38:30
84, 1, the car ran to any boy., 58, 2019-01-01 13:23:01
85, 1, the boy skipped to the town., 9, 2019-01-01 20:37:56
86, 1, any car walked under any boy., 99, 2019-01-01 04:52:27
87, 1, some girl walked from a boy., 75, 2019-01-01 13:48:06
88, 1, one dog skipped from a girl., 40, 2019-01-01 06:52:43
89, 1, one girl ran over any dog., 73, 2019-01-01 06:02:43
90, 1, any town walked to the dog., 24, 2019-01-01 18:39:55
91, 1, one dog walked on one dog., 54, 2019-01-01 07:56:23
92, 1, any dog ran over some boy., 74, 2019-01-01 08:54:49
93, 1, the boy jumped on any dog., 15, 2019-01-01 16:49:13
94, 1, the girl ran under any girl., 45, 2019-01-01 06:04:16
95, 1, the dog skipped under one girl., 44, 2019-01-01 00:06:05
96, 1, one car walked to some girl., 62, 2019-01-01 11:52:28
97, 1, one town drove from any dog., 77, 2019-01-01 12:19:00
98, 1, any dog walked over some dog., 43, 2019-01-01 13:53:40
99, 1, some car jumped to any boy., 5, 2019-01-01 13:50:35
100, 1, some girl drove under a girl., 52, 2019-01-01 00:48:19
101, 2, a dog walked to one dog., 13, 2019-01-01 04:36:58
102, 2, any boy skipped to the girl., 15, 2019-01-01 20:32:23
103, 2, one car jumped over some boy., 15, 2019-01-01 16:25:58
104, 2, the town drove on a dog., 39, 2019-01-01 14:43:51
105, 2, one town drove over any dog., 57, 2019-01-01 06:19:59
106, 2, one car ran on a town., 1, 2019-01-01 04:00:16
107, 2, the girl skipped to a boy., 50, 2019-01-01 07:08:47
108, 2, one town drove from a car., 69, 2019-01-01 06:59:26
109, 2, the dog walked from one town., 9, 2019-01-01 22:03:31
110, 2, the dog drove under any car., 76, 2019-01-01 23:14:41
111, 2, one town jumped from a girl., 62, 2019-01-01 16:58:22
112, 2, one boy drove to one dog., 15, 2019-01-01 05:48:29
113, 2, some boy drove under any dog., 4, 2019-01-01 10:15:37
114, 2, one boy ran over any girl., 91, 2019-01-01 13:39:17
115, 2, the dog jumped over any girl., 91, 2019-01-01 23:33:27
116, 2, some town drove on any dog., 10, 2019-01-01 12:09:48
117, 2, a dog walked under some car., 29, 2019-01-01 23:12:35
118, 2, some town drove from the girl., 77, 2019-01-01 19:50:07
119, 2, any dog skipped on a girl., 70, 2019-01-01 23:27:58
120, 2, some car drove on one dog., 65, 2019-01-01 17:29:31
121, 2, the car ran on any boy., 34, 2019-01-01 09:55:48
122, 2, one boy skipped under the town., 51, 2019-01-02 20:41:49
123, 2, the boy jumped under a car., 54, 2019-01-02 22:25:37
124, 2, some dog skipped to one girl., 25, 2019-01-02 08:13:59
125, 2, any car jumped over the dog., 3, 2019-01-02 07:56:49
126, 2, a car skipped on one girl., 11, 2019-01-02 13:35:44
127, 2, a car skipped over a dog., 21, 2019-01-02 11:00:17
128, 2, the boy skipped over some girl., 69, 2019-01-02 19:03:06
129, 2, one dog ran on a town., 96, 2019-01-02 11:56:50
130, 2, some town drove over any girl., 24, 2019-01-02 23:53:12
131, 2, any boy ran on a girl., 44, 2019-01-02 06:30:50
132, 2, one dog walked from a boy., 62, 2019-01-02 11:12:47
133, 2, some girl ran on one dog., 37, 2019-01-02 08:11:29
134, 2, the boy ran under a car., 88, 2019-01-02 21:41:43
135, 2, a boy walked under the boy., 60, 2019-01-02 01:15:51
136, 2, some dog drove under any dog., 56, 2019-01-02 00:15:05
137, 2, one town skipped over the dog., 95, 2019-01-02 06:28:13
138, 2, a dog drove to a girl., 18, 2019-01-02 07:21:18
139, 2, any car drove to some car., 37, 2019-01-02 22:09:24
140, 2, one dog drove over the dog., 13, 2019-01-02 09:25:30
141, 2, a dog ran on a dog., 35, 2019-01-02 14:44:02
142, 2, any town ran over one town., 60, 2019-01-02 13:18:13
143, 2, one dog drove over a dog., 29, 2019-01-02 22:16:58
144, 2, the car drove over a girl., 25, 2019-01-02 09:02:42
145, 2, one town walked under any girl., 7, 2019-01-02 12:11:55
146, 2, any girl drove over the dog., 24, 2019-01-02 23:28:14
147, 2, any girl jumped over any car., 80, 2019-01-02 15:41:32
148, 2, any boy jumped over any girl., 53, 2019-01-02 01:42:28
149, 2, a dog ran over a boy., 2, 2019-01-02 08:46:19
150, 2, the town drove from one town., 48, 2019-01-02 19:59:46
151, 2, a boy drove on some town., 8, 2019-01-02 03:10:01
